year,event_date_start,event_date_end,province,municipality,commodity,disaster_type_raw,disaster_category,disaster_name,area_partially_damaged_ha,area_totally_damaged_ha,area_total_affected_ha,farmers_affected,losses_php_production_cost,losses_php_farm_gate,losses_php_grand_total,sanitation_remarks
2010,2010-11-04,2010-11-04,CAPIZ,CUARTERO,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,284.0,26.0,310.0,305.0,283792.09,1203500.0,1487292.09,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,DAO,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,577.0,663.0,1240.0,1250.0,5577976.84,6532250.0,12110226.84,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,DUMALAG,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,95.0,200.0,295.0,95.0,1653378.95,7809875.0,9463253.95,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,JAMINDAN,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,253.0,72.0,325.0,135.0,627119.03,4989450.0,5616569.03,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,DUMARAO,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,170.0,0.0,170.0,160.0,30989.61,0.0,30989.61,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,MA-AYON,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,330.0,205.0,535.0,540.0,1719535.7,0.0,1719535.7,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,MAMBUSAO,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,845.0,702.0,1547.0,1550.0,5950579.36,22279250.0,28229829.36,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,PANAY,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,565.0,190.0,755.0,760.0,1634605.84,2734700.0,4369305.84,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,SAPIAN,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,615.0,130.0,745.0,760.0,1177692.24,1471750.0,2649442.24,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,SIGMA,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,645.0,1270.0,1915.0,1920.0,10643373.69,10321825.0,20965198.69,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,PANITAN,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,525.0,835.0,1360.0,1380.0,6946693.46,4624630.0,11571323.46,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,PONTEVEDRA,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,105.0,0.0,105.0,100.0,12584.98,0.0,12584.98,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,CITY OF ROXAS,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,75.0,20.0,95.0,90.0,180170.32,0.0,180170.32,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,IVISAN,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,50.0,0.0,50.0,30.0,15185.19,0.0,15185.19,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,PILAR,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,40.0,0.0,40.0,35.0,9718.52,0.0,9718.52,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,PRESIDENT ROXAS,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,20.0,10.0,30.0,15.0,86332.08,0.0,86332.08,Parsed as a single day event.
2010,2010-11-04,2010-11-04,CAPIZ,TAPAZ,RICE,FLOODING / TYPHOON / DRY SPELL,SHEARLINE,SHEARLINE INDUCED FLASH FLOODING,155.0,35.0,190.0,200.0,315244.44,0.0,315244.44,Parsed as a single day event.
2010,2010-12-09,2010-12-10,CAPIZ,CUARTERO,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,499.0,81.0,580.0,575.0,609269.01,1203500.0,1812769.01,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,DAO,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,712.0,993.0,1705.0,1760.0,7320104.11,6532250.0,13852354.11,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,DUMALAG,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,220.0,485.0,705.0,510.0,2435831.58,9609875.0,12045706.58,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,JAMINDAN,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,275.0,175.0,450.0,265.0,627119.03,4989450.0,5616569.03,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,DUMARAO,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,270.0,0.0,270.0,260.0,52288.31,0.0,52288.31,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,MA-AYON,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,330.0,205.0,535.0,540.0,1719535.7,0.0,1719535.7,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,MAMBUSAO,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,1105.0,1162.0,2267.0,1850.0,5950579.36,9338000.0,15288579.36,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,PANAY,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,635.0,240.0,875.0,870.0,1634605.84,2140200.0,3774805.84,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,SAPIAN,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,640.0,160.0,800.0,820.0,1175333.33,1471750.0,2647083.33,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,SIGMA,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,721.0,1469.0,2190.0,2200.0,10643373.69,10321825.0,20965198.69,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,PONTEVEDRA,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,105.0,0.0,105.0,100.0,12584.98,0.0,12584.98,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,IVISAN,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,50.0,0.0,50.0,30.0,15185.19,0.0,15185.19,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,PILAR,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,40.0,0.0,40.0,35.0,9718.52,0.0,9718.52,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,PRESIDENT ROXAS,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,20.0,10.0,30.0,15.0,86332.08,0.0,86332.08,"Parsed from 'Month Day-Day, Year' format."
2010,2010-12-09,2010-12-10,CAPIZ,TAPAZ,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,155.0,35.0,190.0,200.0,315244.44,0.0,315244.44,"Parsed from 'Month Day-Day, Year' format."
2010,2009-12-01,2010-03-15,AKLAN,MALINAO,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,460.0,1.0,461.0,557.0,8190.0,2847446.0,2855636.0,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,AKLAN,NABAS,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,12.0,0.0,12.0,29.0,0.0,62904.8,62904.8,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,AKLAN,MALAY,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,114.0,0.0,114.0,250.0,0.0,781960.2,781960.2,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,AKLAN,KALIBO,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,1008.0,0.0,1008.0,364.0,0.0,6914174.4,6914174.4,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,AKLAN,MAKATO,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,33.0,0.0,33.0,40.0,0.0,241230.0,241230.0,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,AKLAN,ALTAVAS,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,740.0,0.0,740.0,296.0,0.0,4085466.0,4085466.0,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,AKLAN,MADALAG,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,175.0,0.0,175.0,297.0,0.0,966157.5,966157.5,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,AKLAN,MALINAO,CORN,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,0.0,5.0,5.0,12.0,0.0,120000.0,120000.0,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,ANTIQUE,CULASI,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,89.93,41.93,131.86,191.0,17387.06,3084039.4,3101426.46,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,ANTIQUE,HAMTIC,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,388.35,61.0,449.35,573.0,1048130.0,0.0,1048130.0,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,ANTIQUE,PATNONGON,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,11.1,35.4,46.5,68.0,33720.0,1609920.0,1643640.0,Start date assumed as 1st of month.
2010,2009-12-01,2010-03-15,ANTIQUE,SAN JOSE,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,174.5,0.0,174.5,113.0,589594.2,0.0,589594.2,Start date assumed as 1st of month.
